Kode;Nama Mata Kuliah;SKS;Kategori;Semester;Prasyarat SKS Total;Prasyarat MK;Profesi Relevan;Deskripsi
MH1033;Bahasa Indonesia;3;Wajib;1;0;;MKH;Mengembangkan kompetensi mahasiswa dalam menggunakan Bahasa Indonesia ragam ilmiah secara efektif dan bertanggung jawab.
MH1013;Pendidikan Agama Kristen;3;Wajib;1;0;;MKH;Memberikan pemahaman mendalam tentang ajaran dasar Kristen dan etika Kristiani dalam kehidupan profesi teknologi informasi.
TI0013;Teknologi Komputer;3;Wajib;1;0;;INFRA;Memberikan pemahaman menyeluruh tentang komponen perangkat keras, arsitektur dasar komputer, dan cara kerja sistem komputer.
TI0022;Praktikum Teknologi Komputer;2;Wajib;1;0;TI0013 (> E, Sedang);INFRA;Praktikum untuk identifikasi komponen, perakitan PC, instalasi sistem operasi, dan troubleshooting hardware sederhana.
TI0033;Matematika Teknik;3;Wajib;1;0;;AI, DMS;Menyajikan konsep matematika esensial sebagai fondasi informatika, meliputi aljabar linier, kalkulus, dan teori bilangan.
TI0043;Logika Matematika;3;Wajib;1;0;;AI, PSD;Mempelajari dasar-dasar logika formal sebagai alat bantu penalaran dalam ilmu komputer, termasuk logika proposisional dan predikat.
TI0203;Interaksi Manusia dan Komputer;3;Wajib;1;0;;PSD;Mempelajari konsep fundamental interaksi manusia dan sistem komputasi, berfokus pada prinsip desain UI/UX.
TI0073;Algoritma dan Pemrograman;3;Wajib;2;0;;PSD, AI, DMS;Mata kuliah fundamental yang mengajarkan cara berpikir komputasional dan merancang solusi algoritmik menggunakan bahasa pemrograman.
TI0082;Praktikum Algoritma dan Pemrograman;2;Wajib;2;0;TI0073 (> E, Sedang);PSD, AI, DMS;Sesi praktikum intensif untuk melatih kemampuan problem solving dan coding berdasarkan materi Algoritma dan Pemrograman.
TI0093;Matematika Diskrit;3;Wajib;2;0;;PSD, AI;Mempelajari struktur matematika diskrit sebagai landasan informatika, meliputi teori himpunan, graf, dan kombinatorika.
TI0103;Arsitektur dan Organisasi Komputer;3;Wajib;2;0;TI0013 (> D);INFRA, AI;Membahas secara mendalam rancangan komputer, arsitektur set instruksi (ISA), pipelining, dan hirarki memori.
TI0113;Statistik;3;Wajib;2;0;TI0033 (> D);AI, DMS;Memberikan pemahaman tentang metode statistika untuk pengolahan, analisis, dan interpretasi data, termasuk probabilitas dan uji hipotesis.
TI0052;Jaringan Komputer;2;Wajib;2;0;TI0013 (> D);INFRA;Pengantar konsep dasar dan teknologi jaringan komputer, mempelajari model OSI & TCP/IP, topologi, dan pengalamatan IP.
TI0061;Praktikum Jaringan Komputer;1;Wajib;2;0;TI0052 (> E, Sedang);INFRA;Praktikum membangun dan mengkonfigurasi jaringan sederhana, meliputi pengkabelan, konfigurasi IP, dan simulasi jaringan.
MH1083;Pendidikan Kewarganegaraan;3;Wajib;2;0;;MKH;Membekali mahasiswa dengan pemahaman hak dan kewajiban warga negara Indonesia berdasarkan Pancasila dan UUD 1945.
TI0133;Struktur Data;3;Wajib;3;0;TI0073 (> D);PSD, AI, DMS;Studi mendalam tentang penyimpanan dan pengorganisasian data di memori secara efisien, meliputi linked list, tree, hash table, dan graf.
TI0141;Praktikum Struktur Data;1;Wajib;3;0;TI0133 (> E, Sedang);PSD, AI, DMS;Implementasi praktis dari berbagai struktur data dan algoritma yang dibahas dalam kuliah Struktur Data.
TI0153;Infrastruktur LAN;3;Wajib;3;0;TI0052 (> D);INFRA;Pembahasan lanjut teknologi dan protokol jaringan lokal (LAN), meliputi Ethernet, switching L2 (VLAN), dan routing L3 (RIP, OSPF).
TI0161;Praktikum Infrastruktur LAN;1;Wajib;3;0;TI0153 (> E, Sedang);INFRA;Praktikum konfigurasi perangkat jaringan intermediate seperti managed switch dan router, meliputi implementasi VLAN dan routing.
TI0173;Sistem Basis Data;3;Wajib;3;34;;DMS, PSD;Memperkenalkan konsep fundamental sistem manajemen basis data (DBMS) relasional, perancangan ERD, normalisasi, dan bahasa query SQL.
TI0181;Praktikum Sistem Basis Data;1;Wajib;3;0;TI0173 (> E, Sedang);DMS, PSD;Latihan praktis merancang skema database, membuat tabel, dan menulis query SQL dari tingkat dasar hingga intermediate.
TI0193;Riset Operasi;3;Wajib;3;34;;AI;Pengantar metode kuantitatif untuk optimasi dan pengambilan keputusan, meliputi pemrograman linier, model transportasi, dan teori antrian.
TI0213;Sistem Operasi;3;Wajib;3;34;TI0103 (> D), TI0073 (> D);PSD, INFRA;Mempelajari prinsip dasar, desain, dan implementasi sistem operasi modern, termasuk manajemen proses, memori, dan sistem file.
TI0373;Rekayasa Perangkat Lunak Berorientasi Obyek;3;Wajib;4;0;TI0133 (> D);PSD;Memperkenalkan paradigma berorientasi objek (OOP) sebagai dasar pengembangan perangkat lunak modern, meliputi encapsulation, inheritance, dan polymorphism.
TI0382;Praktikum Rekayasa Perangkat Lunak Berorientasi Obyek;2;Wajib;4;0;TI0373 (> E, Sedang);PSD;Latihan praktis menerapkan konsep OOP dan prinsip software engineering dalam proyek kecil menggunakan bahasa OOP seperti Java/Python.
TI0243;Pemrograman Web;3;Wajib;4;0;TI0073 (> D), TI0173 (> D);PSD;Mempelajari teknologi fundamental membangun aplikasi web dinamis, mencakup frontend (HTML, CSS, JS) dan backend (PHP/Python/Node.js).
TI0251;Praktikum Pemrograman Web;1;Wajib;4;0;TI0243 (> E, Sedang);PSD;Sesi praktikum intensif membangun aplikasi web full-stack sederhana, mengintegrasikan frontend, backend, dan database.
TI0263;Kecerdasan Buatan;3;Wajib;4;43;TI0073 (> D), TI0133 (> D), TI0113 (> D), TI0043 (> D);AI;Memberikan pemahaman konsep inti dan teknik dasar AI, meliputi agen cerdas, problem solving dengan pencarian, dan pengantar machine learning.
TI0273;Keamanan Komputer;3;Wajib;4;58;TI0213 (> D), TI0052 (> D);INFRA;Mempelajari prinsip dan praktik keamanan sistem komputer, ancaman siber, kriptografi dasar, dan mekanisme pertahanan.
MH1073;Pendidikan Pancasila;3;Wajib;4;40;;MKH;Pendalaman filsafat Pancasila sebagai ideologi dan dasar negara, serta refleksi implementasi nilai-nilainya.
TI0302;Etika Profesi Teknologi Informasi;2;Wajib;4;64;;;Membekali mahasiswa dengan pemahaman tanggung jawab etis, legal, dan sosial sebagai profesional IT, meliputi kode etik dan privasi data.
TI0313;Manajemen Proyek Teknologi Informasi;3;Wajib;5;75;TI0373 (> D);PSD, AI, DMS, INFRA;Mempelajari prinsip dasar dan praktik manajemen proyek perangkat lunak, meliputi perencanaan, manajemen risiko, dan monitoring proyek.
TI0323;Riset Teknologi Informasi;3;Wajib;6;75;MH1033 (> D), TI0113 (> D);;Mempelajari metodologi penelitian dalam bidang TI, cara merumuskan masalah, studi literatur, dan teknik penulisan ilmiah.
TI0333;Kuliah Kerja Nyata;3;Wajib;6;90;;;Kegiatan pengabdian masyarakat untuk mengaplikasikan ilmu pengetahuan dan teknologi informatika secara langsung di lapangan.
TI0341;Seminar;1;Wajib;7;100;TI0323 (> D);;Forum bagi mahasiswa untuk mempresentasikan proposal penelitian atau topik skripsi dan mendapatkan masukan.
TI0353;Kerja Praktik;3;Wajib;7;100;;;Pengalaman kerja profesional di industri atau instansi terkait untuk menerapkan pengetahuan informatika dan melatih keterampilan kerja.
TI0366;Skripsi;6;Wajib;8;122;TI0341 (> C);;Karya ilmiah akhir mahasiswa sebagai hasil penelitian mendalam di bidang informatika untuk memenuhi persyaratan kelulusan.
TI3013;Administrasi Basis Data;3;Pilihan Wajib Profesi;5;0;TI0173 (> C);DMS;Mempelajari tugas administratif untuk mengelola DBMS, termasuk instalasi, konfigurasi, backup/recovery, dan tuning performa.
TI3033;Data Warehouse;3;Pilihan Wajib Profesi;5;0;TI0173 (> C);DMS;Mempelajari konsep, arsitektur, dan implementasi data warehouse untuk mendukung Business Intelligence (BI) dan analisis data.
TI3043;Basis Data Terdistribusi;3;Pilihan Wajib Profesi;5;0;;DMS, INFRA;Membahas arsitektur dan desain sistem basis data yang terdistribusi secara fisik di beberapa lokasi jaringan.
TI3053;Keamanan Basis Data;3;Pilihan Wajib Profesi;5;0;;DMS;Fokus pada perlindungan data dalam database, meliputi kontrol akses, enkripsi, audit, dan pencegahan serangan.
TI3063;Administrasi Basis Data Non Relasional;3;Pilihan Wajib Profesi;5;0;;DMS;Mempelajari administrasi dan manajemen database NoSQL seperti Document, Key-Value, dan Graph Database.
TI6113;Pemrograman Perangkat Bergerak Berbasis Android;3;Pilihan Wajib Profesi;5;0;TI0373 (> C);PSD, AI, DMS;Pengembangan aplikasi native untuk platform Android menggunakan bahasa pemrograman seperti Java atau Kotlin.
TI6123;Pemrograman Perangkat Bergerak Berbasis iOS;3;Pilihan Wajib Profesi;5;0;TI0373 (> C);PSD, AI, DMS;Pengembangan aplikasi native untuk platform iOS (iPhone/iPad) menggunakan bahasa pemrograman Swift dan Xcode.
TI6133;Pemrograman Perangkat Bergerak Berbasis Hybrid;3;Pilihan Wajib Profesi;5;0;TI0243 (> C);PSD, AI, DMS;Pengembangan aplikasi mobile cross-platform (Android dan iOS) menggunakan framework seperti React Native atau Flutter.
TI6143;Pemrograman Desktop;3;Pilihan Wajib Profesi;5;0;TI0373 (> C);PSD, AI, DMS;Pengembangan aplikasi untuk sistem operasi desktop (Windows, macOS, Linux) menggunakan toolkit seperti .NET, JavaFX, atau Qt.
TI6153;Pemrograman Web Lanjut;3;Pilihan Wajib Profesi;5;0;TI0243 (> C);PSD, AI, DMS;Pembahasan mendalam tentang teknologi web modern, meliputi framework backend/frontend (React, Vue, Django, Laravel) dan API.
TI6033;Internet of Things;3;Pilihan Wajib Profesi;5;0;TI0243 (> C), TI0103 (> C);AI, INFRA;Mempelajari konsep dan arsitektur IoT, sensor, mikrokontroler (Arduino/Raspberry Pi), dan protokol komunikasi (MQTT).
TI6043;Machine Learning;3;Pilihan Wajib Profesi;5;0;TI0263 (> C);AI, DMS;Studi mendalam tentang algoritma machine learning, meliputi supervised learning (regresi, klasifikasi) dan unsupervised learning (clustering).
TI6053;Jaringan Syaraf Tiruan;3;Pilihan Wajib Profesi;5;75;TI0263 (> C);AI;Mempelajari konsep, arsitektur, dan algoritma pelatihan Artificial Neural Networks (ANN), meliputi perceptron, MLP, dan backpropagation.
TI6063;Knowledge-Based System;3;Pilihan Wajib Profesi;5;0;TI0263 (> C);AI;Mempelajari sistem pakar (expert system) dan sistem berbasis pengetahuan, termasuk representasi pengetahuan dan mesin inferensi.
TI6073;Pemrosesan Bahasa Natural;3;Pilihan Wajib Profesi;5;60;TI0263 (> D);AI;Fokus pada teknik komputasi untuk menganalisis dan memahami bahasa manusia, meliputi tokenisasi, parsing, dan sentiment analysis.
TI6083;Pemrosesan Citra Digital;3;Pilihan Wajib Profesi;5;0;TI0033 (> D);AI;Mempelajari teknik untuk memanipulasi dan menganalisis gambar digital, meliputi enhancement, restorasi, dan segmentasi.
TI6093;Pemrosesan Sinyal Digital;3;Pilihan Wajib Profesi;5;60;;AI;Mempelajari representasi sinyal digital (audio, video) dan teknik pemrosesan seperti filtering, transformasi Fourier (FFT).
